id,name,id:1,country_id,name:1
1,Belgium,1,1,Belgium Jupiler League
1729,England,1729,1729,England Premier League
4769,France,4769,4769,France Ligue 1
7809,Germany,7809,7809,Germany 1. Bundesliga
10257,Italy,10257,10257,Italy Serie A
13274,Netherlands,13274,13274,Netherlands Eredivisie
15722,Poland,15722,15722,Poland Ekstraklasa
17642,Portugal,17642,17642,Portugal Liga ZON Sagres
19694,Scotland,19694,19694,Scotland Premier League
21518,Spain,21518,21518,Spain LIGA BBVA
24558,Switzerland,24558,24558,Switzerland Super League
